name,website,classification,platform,confidence,signals
"Skovsgaard B","http://www.skovsgaard-boldklub.dk/","unknown","","low",""
"Skovby GF","http://www.skovbygf.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Skovshoved Idrætsforening","http://www.skovshoved-fodbold.dk/","unknown","","low",""
"Skægkær IF Centrum","http://www.ifcentrum.dk/","unknown","","low",""
"Skødstrup SF","http://www.skoedstrup-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; template-default-dbu-mail"
"Skælskør Boldklub og Idrætsforening","http://www.sb-i.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skensved IF","http://www.skensvedif.dk/fodbold","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"Slaglille-Bjernede GI","http://www.sbgi.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Slagslunde-Ganløse IF","http://www.sgif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Skibbild-Nøvling Idræt og Motion","http://www.skibbild-noevling.dk/sif","custom","WordPress","high","platform:WordPress"
"Slangerup & Omegn IF","http://www.soif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sole IF","http://www.soleif.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Skovlund Efterskole","http://www.ske.dk/","custom","WordPress","high","platform:WordPress"
"Slagelse B&I","http://www.slagelseboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:Powered by LayerSlider 7.6.7 - Build Heros, Sliders, and Popups. Create Animations and Beautiful, Rich Web Content as Easy as Never Before on WordPress."
"Skårup IF","http://www.skaarup-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Snejbjerg SG&I","http://www.snejbjergsgi.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Sommersted IF","http://www.sommersted-if.dk/","unknown","","low",""
"SMIFF09","http://www.smiff09.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Sparkær IF","http://www.sparkaerif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Spangsbjerg IF","http://www.spangsbjergif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; template-default-dbu-mail"
"Snekkersten IF","http://www.sif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sommersted Efterskole","http://www.sommerstedefterskole.dk/","custom","Wix","high","platform:Wix"
"Spøttrup Motion & Sport","http://www.spottrupms.dk/","unknown","","low",""
"SS Skjold","http://www.skjold-glud.dk/","unknown","","low",""
"Spjald IF","http://www.spjaldif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Starup UIF","http://www.fodbold.starup-uif.dk/","unreachable","","n/a","fetch failed"
"Solrød FC","http://www.solrodfc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sportsefterskolen Aabybro","http://www.sportsefterskolen.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Stauning/Dejbjerg UI","http://www.uogi.dk/","unknown","","low",""
"ST 70","http://www.st70.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Sportsefterskolen Sjælsølund","http://www.sjaelsoelund.dk/","unknown","","low",""
"Stavtrup IF Fodbold","http://www.stavtrupfodbold.dk/","unknown","","low",""
"Stenløse BK","http://www.stenloese-bk.dk/","unknown","","low",""
"Stensballe IK","http://www.stensballeikfodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Stilling IF","http://www.stillingfodbold.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Stillinge IF","http://www.stillingeif.dk/","unknown","","low","generator:One.com Web Editor"
"Spentrup IF","http://www.spentrupif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Store Heddinge BK","http://www.storeheddingeboldklub.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"St. Restrup IF","http://www.strestrupif.dk/","unknown","","low",""
"Strandby IF Farsø","http://www.strandbyif.dk/","unreachable","","n/a","fetch failed"
"Stoholm IF","http://www.stoholm-if.dk/fodbold","unknown","","low",""
"Store Lyngby IF","http://stlyngbyif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress.com"
"Strellev/Lyne GU","http://www.slgu.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Stepping IF","http://www.stepping.dk/","custom","WordPress","high","platform:WordPress"
"Stenstrup IF","http://stenstrupif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Storvorde/Sejlflod B","http://www.ssb-storvorde.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Strandby-Elling-Nielstrup IF Fodbold","http://www.seiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Struer B","http://www.struerboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Strib IF","http://www.stribif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Studenter Settlementets Boldklub","http://www.ssb-sport.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Stidsholt IF (Efterskole)","http://www.stidsholt.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"Sundby Thy IK","http://www.sundbythy.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Stubbekøbing BK","http://www.sb-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"SUB Ullerslev","http://www.sub-ullerslev.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sundeved Efterskoles IF","http://www.sundeved-efterskole.dk/","unknown","","low",""
"Støvring IF Fodbold","http://www.siffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Svendborg Efterskole","http://rantz.dk/","unreachable","","n/a","fetch failed"
"Sulsted IF","http://www.sulstedif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Svinninge IF","http://svinningeif.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.7.2"
"Sundby Boldklub","http://www.sundbyboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Syd- & Østsjællands","http://www.soef.dk/","unreachable","","n/a","fetch failed"
"Suså IF","http://www.susaaif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sunds IF","http://www.sundsif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sydmors IF","http://www.sydmors.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Svogerslev BK","http://www.svogerslev-bk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Rørbæk IF","http://www.nif-rif.dk/","unreachable","","n/a","timeout"
"Svenstrup-Godthåb IF","http://www.sgifklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Søften GF","http://www.sgf-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sydvestjysk Fodbolddommerklub","http://www.sfdk.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Søllested IF","http://www.sifbold.dk/","unreachable","","n/a","fetch failed"
"Sædding/G IF","http://www.sgi-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Syvsten IF","http://www.syvstenif.dk/","custom","WordPress","high","platform:WordPress"
"Søllinge Sport og Fritid","http://www.sollingeboldklub.dk/","unknown","","low","generator:One.com Web Editor"
"Søhus IF","http://www.soehusstige.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sønderborg Boldklub","http://www.sonderborgboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"STUK Overbygning","http://stuk.dk/","custom","WordPress","high","platform:WordPress; generator:WP Rocket 3.21.3"
"Sønderborg Fremad","http://www.sonderborgfremad.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Svaneke Idræts Klub","http://www.svaneke-ik.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Sønderbro Fight","http://www.sonderbro-fight.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Sønderris SK","http://www.soenderris-sk.dk/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Søndersø BK","http://www.sondersobk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Såby Fodbold","http://www.saabyfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Sønderup/Suldrup IK Frem","http://wp.ikfrem.dk/fodbold","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Tarm IF","http://www.tarmif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Tarp B","http://www.tarpboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Taps.dk - By- og IF","http://www.taps.dk/","unreachable","","n/a","fetch failed"
"Sørup IF","http://www.facebook.com/soerupif","custom","Shopify","medium","platform:Shopify"
"Tarup/Paarup IF","http://www.tpifodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Taulov/Skærbæk IF","http://www.tsiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Team Viborg","http://teamviborg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Terndrup IF","http://www.terndrupif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Terslev G&IF","http://www.tgif.dk/","unknown","","low",""
"Tejn IF","http://www.tejnif.dk/","custom","WordPress","high","platform:WordPress; generator:Powered by WPBakery Page Builder - drag and drop page builder for WordPress."
"Them GF","http://www.themgf.dk/","custom","WordPress","high","platform:WordPress"
"Thisted FC","http://www.thistedfc.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"Thisted FC (professional)","http://www.thistedfc.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"Thurø BK af 1920","http://www.thuroeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Thyland idrætsefterskole","http://www.thyland.dk/","unreachable","","n/a","fetch failed"
"Thyregod SF Frem","http://www.frem-thyregod.dk/","unknown","","low",""
"Thorup/Klim B","http://www.thorupklimboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:All in One SEO (AIOSEO) 4.9.8"
"Sønderjydsk Fodbolddommerklub","http://www.sonderjydsk-fodbolddommer.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0; template-default-dbu-mail"
"Tinglev IF","http://www.tinglevif.dk/","custom","Joomla","medium","platform:Joomla; generator:Joomla! - Open Source Content Management"
"Tingsted BK","http://www.tingsted-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Tistrup B","http://www.tistrupboldklub.dk/","custom","SPA/tom HTML","low","generator:Stone; empty-or-spa-shell"
"Tilsted IK","http://www.tilstedik.dk/","custom","Shopify","medium","platform:Shopify"
"Thorsø/Tungelund IF","http://www.t-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Tisvildeleje GF","http://www.vtfodbold.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Toftlund IF","http://www.tiffodbold.dk/","unknown","","low",""
"Thorning IF","http://www.thorningif.dk/fodbold_65","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Toksværd Olstrup Fodbold","http://www.t-o-f.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Tornby IF","http://www.tornbyif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.8.5"
"Tommerup BK","http://www.tommerupbk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Tjørring IF","http://www.tjoerring-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Torpedo AT","http://www.facebook.dk/ATTorpedo","custom","Shopify","medium","platform:Shopify"
"Tirstrup Idrætsefterskole","http://www.tirstrup-ie.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Thyholm IF","http://www.thyholm-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Tranum GF","http://www.tranumgf.dk/","unknown","","low",""
"tst Fodbold","http://www.tst-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Tuse Næs BK","http://www.tusenaesboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Tvis KFUM & IF","http://fodbold.tvisby.dk/","unreachable","","n/a","fetch failed"
"Tved BK","http://www.tvedboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Tylstrup IF","http://www.tuif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Tuse IF","http://www.tusefodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Tølløse Privat- og Efterskole","http://tpoe.dk/","custom","TYPO3","medium","platform:TYPO3; generator:TYPO3 CMS"
"Torslunde-Ishøj IF","http://www.tiif.dk/fodbold/","custom","WordPress","high","platform:WordPress"
"Trustrup-Ålsrode IF","http://www.taaif.dk/","custom","WordPress","high","platform:WordPress"
"Tølløse BK","http://www.tbk-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Tune IF","http://www.tune-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Tømmerup GU","http://www.tgu.klub-modul.dk/","unknown","","low",""
"Tårup IF","http://www.taarupif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","medium","umbraco-media-path"
"Tønder SF","http://www.tsf-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Taarbæk IF","http://www.taarbaekif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Systofte BK","http://www.systofte-boldklub.dk/","unreachable","","n/a","fetch failed"
"Tårnby FF","http://www.taarnbyff.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Tåsinge f. B.","http://www.taasingefb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Taastrup FC","http://www.taastrupfc.com/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Uldum IF","http://www.uldum-if.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Ubberud IF","http://www.ubberud-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Uhre GIF","http://www.uhregif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; template-default-dbu-mail"
"Ubby Fri- og Efterskole","http://ubby.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Ulsted B","http://www.ulstedboldklub.dk/","unknown","","low",""
"Uvelse IF","http://www.uif.dk/","unknown","","low",""
"Sydøstjysk Fodbolddommerklub","http://www.sydoestjyskdommer.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Vadum IF","http://www.vadum-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Tårs/Ugilt IF","http://www.taars-ugilt-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"University College Lillebælt Football Club","http://www.facebook.com/UCLFC","custom","Shopify","medium","platform:Shopify"
"Ulbjerg IF","http://www.ulbjergif.dk/","custom","Joomla","medium","platform:Joomla; generator:Joomla! - Open Source Content Management"
"Tørring IF","http://www.toerring-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Valsgård IF 83","http://www.vif83.dk/","unknown","","low",""
"Vallensbæk IF","http://www.vallensbaek-if.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vandel Efterskole","http://www.vandelefterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vamdrup IF","http://www.viffodbold.dk/","unknown","","low",""
"Varnæs/Bovrup IF","http://www.vbif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Veddum IF","http://www.veddumif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vatanspor","http://www.vatanspor.dk/","unknown","","low","generator:One.com Web Editor"
"Varde IF","http://www.vardeif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Valby Boldklub","http://www.valbyboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vanløse Idræts Forening","http://www.vanloeseif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Veflinge G &  IF","http://www.vgif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vejby IF","http://www.vtfodbold.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Vejen SF","http://www.vejensf.dk/","unknown","","low",""
"Vejle B","http://www.vejleboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vejgaard B","http://www.vejgaard-bk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; kampfakta-resource"
"Vejle Fodbolddommerklub","http://www.vejlefodbolddommerklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vejle FC","http://www.vejlefc.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vejlby Skovbakken Aarhus","http://www.vskaarhus.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vellev IF","http://www.vellev-if.dk/","custom","Drupal","medium","platform:Drupal; generator:Drupal 7 (http://drupal.org)"
"Veksø IF","http://www.veksoe-if.dk/","unknown","","low",""
"Vejle Kammeraterne","http://www.vejle-kammeraterne.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Undløse BK","http://www.ub1901.dk/","custom","WordPress","high","platform:WordPress"
"Vemmelev BK","http://www.vemmelev-boldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vejle Idrætsefterskole","http://www.vies.dk/","custom","WordPress","high","platform:WordPress"
"Vestbirk Musik- & Sportsefterskole","http://www.vestbirk-efterskole.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Verninge IF","http://www.verningeif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Vester Hjermitslev B","http://www.123hjemmeside.dk/vhb","unreachable","","n/a","fetch failed"
"Vesterborg Efterskole","http://vesterborgefterskole.dk/","unreachable","","n/a","fetch failed"
"Vester Hassing GF","http://www.vhg.dk/","unknown","","low",""
"Vesterbro Alliancen","http://www.fcva.dk/","unreachable","","n/a","fetch failed"
"Vestervig/Agger IF","http://www.vaif.dk/","unreachable","","n/a","fetch failed"
"Vejrumbro Boldklub","http://www.vejrumbroboldklub.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vestsjællands idrætsefterskole","http://www.efterskole.nu/","unreachable","","n/a","fetch failed"
"Viborg Vestermarken","http://www.vugf.dk/","unknown","","low","generator:One.com Web Editor"
"Viborg FF Oldboys 2003","http://www.vff.dk/","custom","Joomla","medium","platform:Joomla; generator:Joomla! - Open Source Content Management"
"Velling UIF","http://www.vuif.eu/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Viborg FF","http://www.viborg-ff.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Viby IF","http://www.vibyfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Viborg B67","http://www.viborgb67.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Videbæk IF","http://www.vif-fodbold.dk/","dbu-klubcms","WordPress","high","platform:WordPress; umbraco-media-path; dbu-viewport"
"Vestbjerg IF","http://www.vestbjergif.dk/fodbold","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vinderslev IF","http://www.vinderslev-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Viking Fodbold","http://www.vikingfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Vinding SF","http://www.vsffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"VIF, Mors","http://www.vifmors.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vindinge IF","http://www.vindinge-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vildbjerg SF","http://www.vsf-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Vindinge BK","http://www.vindingeboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Vinderup IK","http://www.vinderup-ik.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Vipperød BK","http://www.vipperod-bk.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Visborg IF","http://www.visborg-if.dk/","unreachable","","n/a","fetch failed"
"Virring Fodbold","http://www.virringfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vittrup Efterskole - Lukket ??","http://www.vittrupefterskole.dk/","unreachable","","n/a","fetch failed"
"Virum-Sorgenfri BK","http://www.vsb-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Virklund B","http://www.virklundboldklub.dk/","unknown","","low",""
"Virup IF","http://www.virupif.dk/","unknown","","low",""
"Vivild IF","http://www.vivild-if.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vissenbjerg G & IF","http://www.vgif-fodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vivild Gymnastik- og Idrætsefterskole","http://www.vgi.dk/","custom","Squarespace","high","platform:Squarespace"
"Voersaa IF","http://www.voersaa-if.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Vojens BI","http://www.vbi.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vodskov IF","http://www.vodskovfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid"
"Vonsild FK","http://www.vonsildfodboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vorgod-Barde Motion og fritid","http://www.vorgodbardehallen.dk/","custom","Drupal","medium","platform:Drupal; generator:Drupal 11 (https://www.drupal.org)"
"Vordingborg IF","http://www.vifnet.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"Vorupør B","http://www.voruporbk.dk/","unreachable","","n/a","fetch failed"
"Vorbasse Boldklub af 1912","http://www.vorbasseboldklub.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Vinding UIF","http://www.vinding-uif.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.5.8"
"Vrå/Børglum IF","http://www.vbi-vraa.dk/","custom","Wix","high","platform:Wix; generator:Wix.com Website Builder"
"Vorup FB","http://www.vorupfb.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
