name,website,classification,platform,confidence,signals
"FC Odense","http://www.fcodense.dk/","unknown","","low","generator:Bricksite"
"FC Nyhavn","http://www.facebook.com/FCNyhavn/","custom","Shopify","medium","platform:Shopify"
"FC Ryparken","http://www.fcryparken.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"FC SevenOaks","http://www.fcsevenoaks.dk/","unreachable","","n/a","fetch failed"
"FC Helsingør","http://www.fchtalent.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FC Storebælt","http://www.fcstorebaelt.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FC Skanderborg","http://www.fcskanderborg.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport; file.dbu.dk-club-logos; kampvisning-poolrowid; template-default-dbu-mail"
"Espergærde IF","http://www.eif-fodbold.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FC Roskilde (professional)","http://www.fc-roskilde.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FC Udfordringen","http://www.fcudfordringen.dk/","unknown","","low",""
"FC Rangers","http://www.fcrangers.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FC Ypsilon","http://www.fcy.dk/","unknown","","low",""
"FF Klettar","http://www.ffklettar.dk/","unreachable","","n/a","fetch failed"
"Felsted IF","http://www.felsted-if.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"FC Royal","http://www.facebook.com/FC.Royal.Fodbold.Aarhus","custom","Shopify","medium","platform:Shopify"
"FC Sydvest 05 Tønder (professional)","http://www.fcsydvest.dk/","custom","WordPress","high","platform:WordPress"
"FCH 6100","http://www.fch6100.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.7.5"
"FIF, Hillerød","http://www.fif-hillerod.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Filskov IF","http://www.filskov-if.dk/","unknown","","low",""
"Fjerritslev IF","http://www.fiffodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FK Odsherred","http://www.fkodsherred.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Fjordager IF","http://www.fjordagerfodbold.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"Flemløse BK","http://www.flemloese-boldklub.dk/","custom","SPA/tom HTML","low","empty-or-spa-shell"
"Feldborg/Haderup IF","http://www.fhif.dk/","dbu-klubcms","DBU Klub-CMS (Umbraco)","high","umbraco-media-path; dbu-viewport"
"FK Utopia","http://www.fkutopia.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 7.0"
"FLUIF-MORS","http://www.fluif.dk/","unknown","","low",""
"FK 73","http://www.fk73.dk/","custom","WordPress","high","platform:WordPress; generator:WordPress 6.9.4"
"Fjelsted/Harndrup IF","http://www.fjelstedharndrup-if.dk/","unknown","","low",""
"Football Club Vietnam","http://www.fcvn.dk/","unreachable","","n/a","fetch failed"
"Fodboldklubben Prespa","http://www.fkprespa.dk/","unknown","","low",""
