platform,country,rating,version,author,updated,title,text,categories
"android","dk","1","5.1.2","Ellen Villadsen","2023-10-11T09:23:22.351Z","","Virkelig ringe uintuitiv app. Den er ikke blevet bedre efter opdatering vedr. layout osv.","ux_findbarhed"
"android","dk","5","5.1.2","Bob Hope","2023-10-08T19:16:48.886Z","","Fungerer fint og meget pænere rent grafisk end det var tidligere. Det eneste der kan irritere mig at man under ""Favoritter"" ikke bare lige kan fjerne hold igen. Så skal man ind og søge på holdet igen i søg hold/resultater, finde klubben og så scrolle ned og fjerne stjerne-markeringen.","ros"
"android","dk","3","5.1.2","Jakob Horne","2023-10-07T11:36:39.739Z","","Fantastisk app. Jeg oplever dog at træneren bruger alt for meget tid på, ikke at bryde reglerne, når han til næste kamp skal bruge spilleberettigede spillere.  Når holdkortene er udfyldt med korrekte navne, kunne det være en stor hjælp, hvis der var en farve, som indikerede hvis den enkelte ikke var spilleberettiget til næste kamp, i det tilfælde at spilleren skal spille på et andet hold i klubben. Det er især et problem med det korrekte antal af nedrykkede spillere fra et højere niveau.","login_adgang|ros"
"android","dk","2","5.1","Carsten Just von Thun","2023-09-07T12:19:04.577Z","","App'en bruger/gemmer utroligt meget data på min telefon. Pt er forbruget: App = 68 MB (OK) Data = 14,12 GB (What??) Hvordan kan det være?","login_adgang"
"android","dk","4","5.1","Anne Sofie bkqqfqvuj7m6yluyteRasmussen","2023-09-06T12:07:50.974Z","","Rigtig god app, nem at bruge. Jeg er dog lidt i tvivl hvordan jeg får to profiler oprettet? Begge mine børn går til fodbold, men jeg kan simpelthen ikke finde ud af, hvordan jeg får en ekstra profil på?","ros"
"android","dk","1","5.1","Jens Christiansen","2023-09-05T20:10:31.815Z","","Efter få dages brug fylder app helt vildt på telefons lager. Så sletter vi data og telefon virker nogle dage igen.",""
"android","dk","1","5.1","Niklas Persson","2023-09-02T18:11:14.910Z","","Stopper konstant. Har geninstallerer mange gange. Kan ikke finde fejlen.","ux_findbarhed|nedbrud_fejl"
"android","dk","4","5.1","Bianca Clarke","2023-09-01T12:42:40.558Z","","Det er en udmærket app. Men jeg savner at min søn kan ha sit eget login med eget mobil nr. Nu kan han både lave om på profilen og det hele. Mangler en hvor barnet bare kan se hvem, hvad, hvor der spilles eller det er aflyst","login_adgang"
"android","dk","1","5.0.11","Carl-Ove Bukhave","2023-08-19T11:59:59.842Z","","kan ikke find og følge evt vejledning. fået meddelelse om ny i serien 3 senior fyn. Har først nu fundet ud af kampen evt. er aflyst pga ude ikke kan stille hold. og når man bruger livescoor bliver man usikker . og nu kan jeg ikke se hvad jeg skriver.","login_adgang"
"android","dk","2","5.0.11","Jesper Sjögren Jesper","2023-08-11T16:39:25.218Z","","Efter opdatering kan man ikke tilmelde sig mere til kampe osv det er en ommer det virker ikke som jeres it ha tænkt det godt nok igennem","nedbrud_fejl"
"android","dk","2","5.0.11","Ulrich Berggren Jensen","2023-07-27T08:10:17.305Z","","Ustabil app som ""fryser"" hver gang man ville læse sin indpakke? Ellers en app med mange muligheder","nedbrud_fejl"
"android","dk","1","5.0.11","Linda E. Løvendahl Johansen","2023-07-18T13:05:14.370Z","","Træt af at jeg ikke kan få lov til at oprette en profil, bliver sendt tilbage til login hver gang, har nu tastet min mailadresse 5 gange.","login_adgang"
"android","dk","1","5.0.11","Nils Anders Krøyer","2023-07-02T10:44:53.779Z","","Jeg kan ikke se mine holds stillinger længere. Den er I øvrigt ikke særlig intuitiv.",""
"android","dk","3","5.0.9","Jimmy Glatter","2023-06-18T11:56:46.716Z","","Appen bliver ved at sige at min app ikke er opdateret. Den er opdateret til nyeste version. Der er også prøvet at afinstallere og geninstallere. Intet hjælper.",""
"android","dk","2","5.0.9","Marina Pedersen","2023-06-17T17:32:49.252Z","","Den beder om opdatering men det virker ikke","nedbrud_fejl"
"android","dk","4","5.0.9","Tommy Jørgsensen","2023-06-17T08:20:45.378Z","","Cool App c"",)",""
"android","dk","2","5.0.9","Louise Egedal Petersen","2023-06-17T07:39:21.309Z","","Lukker hele tiden",""
"android","dk","1","5.0.9","Jan Erik Helweg-Mikkelsen","2023-06-17T07:36:30.459Z","","Er træt af opdateringer som ikke vil opdatere",""
"android","dk","3","5.0.8","L J","2023-06-14T16:11:45.698Z","","Kan appen bruges til at ""gemme eller opbevare"" billetter til DBUs fodboldkampe som man har købt?",""
"android","dk","4","5.0.6","En Google-bruger","2023-05-13T18:51:09.150Z","","Fungerer igen",""
"android","dk","1","5.0.6","Flemming Travn Rasmussen","2023-05-12T04:33:56.388Z","","Den nye app er nede meget af tiden, og layout mindre logisk end den gamle. Jeg er desværre ikke imponeret.","ux_findbarhed"
"android","dk","2","5.0.6","Martin Kristensen","2023-05-06T21:16:41.590Z","","Meget uoverskuelig, desværre en utrolig dårlig opdatering fra den gamle version","ux_findbarhed"
"android","dk","2","5.0.5","casper nancke","2023-05-01T20:58:32.576Z","","Absurd så ringe den app er blevet.. den er forvirrende. Ikke et direkte link til oprettelse af begivenhed. Den er rodet og slet ikke overskuelig. En kæmpe ommer. Nogen ting fungere fint. Derfor Får den ikke kun en stjerne.","ux_findbarhed"
"android","dk","2","5.0.5","Tobias Birkemark Tångberg","2023-04-30T16:10:17.746Z","","Er underligt blevet merkant dårligere for brugere da de informationer som man gerne vil have i et overskueligt layout er blevet mikset med den kommercielle del. Er blevet en meget stor reklame for OK og DBU.","ux_findbarhed|login_adgang"
"android","dk","4","5.0.5","Rune Bengtsson","2023-04-29T06:12:05.585Z","","Den nye version fungerer fint. Det var rart 😀","ros"
"android","dk","2","5.0.4","Tanja Madsen","2023-04-26T06:10:02.381Z","","Jeg havde virkelig håbet at jeg kunne styre meget mere selv efter ny app. 1) Jeg er tilknyttet et hold jeg aldrig har været spiller på. Ingen ved hvorfor jeg er der eller hvordan jeg kommer af holdet.. 2) Jeg kan ikke styre mine notifikationer på appen Hver gang en spiller ændrer status (til/framelder sig) på en aktivitet får jeg en besked på appen. Det resulterer i ca 20-30 beskeder ugentligt foruden ægte beskeder. 3) Jeg får ikke notifikationer på trods af rette indstillinger på app og tlf.","notifikationer"
"android","dk","1","5.0.4","Simone Christiansen","2023-04-25T20:43:20.162Z","","Appen bliver ved med at lukke ned.",""
