name,website,category,deepLooksLikeGuide,matchUrl,matchText
"Glostrup FK - IF 32","http://www.glostrupfodbold.dk/","ingen-paa-forside","","",""
"Gredstedbro B","http://www.gredstedbrob.dk/","ingen-paa-forside","","",""
"Grønbjerg Aktiv Fritid For Alle","http://www.groenbjerg-aktiv.dk/fodbold.html","ingen-paa-forside","","",""
"Grindsted GIF","http://www.ggif-fodbold.dk/","ingen-paa-forside","","",""
"Grønbjerg/Langelund IF","http://www.gliffodbold.dk/","unreachable","","",""
"Grønne Stjerne","http://www.gronnestjerne.dk/","unreachable","","",""
"Græsted IF","http://www.græstedif.dk/","ingen-paa-forside","","",""
"Gislinge BK","http://www.gislingeboldklub.dk/","egen-guide","true","https://gislingeboldklub.dk/vejledninger/","DBU Kampklar"
"Greve Fodbold","http://www.grevefodbold.dk/","ingen-paa-forside","","",""
"Grundfør UI","http://www.guisport.dk/","ingen-paa-forside","","",""
"Gug B","http://www.gugboldklub.dk/","ingen-paa-forside","","",""
"Gundsølille SGIF","http://www.gundsolille.dk/","unreachable","","",""
"Gråsten B","http://www.ny.graasten-boldklub.dk/","ingen-paa-forside","","",""
"Grenaa IF","http://www.grenaaif.dk/","egen-kampklar-side","false","https://www.grenaaif.dk/om-klubben/for-traenere/dbu-kampklar/","DBU KampKlar"
"Gudumholm IF","http://www.gudumholm-if.dk/","ingen-paa-forside","","",""
"Guldborg IF","http://www.guldborgif.dk/","ingen-paa-forside","","",""
"Gudum Nissum IF","http://www.gnif.dk/","ingen-paa-forside","","",""
"Gørslev IF","http://www.goerslev-if.dk/","ingen-paa-forside","","",""
"Gaarslev GF","http://www.gaarslevgf.dk/","ingen-paa-forside","","",""
"GVL Løkken","http://www.gvlloekken.dk/","ingen-paa-forside","","",""
"Haderslev FK","http://www.hfk-haderslev.dk/","ingen-paa-forside","","",""
"Gørløse SI","http://gorlosesi.dk/","ingen-paa-forside","","",""
